"ResponseId","normalized_auc"
"R_20uA3Ls5GyscXuO",0.0098125
"R_20uXAPwmUOvLlcu",0.00400892857142857
"R_223ay6keI1QrTsO",NA
"R_24wvto7WxmZ7LPy",0.00177678571428571
"R_2aQruiQwvpfadel",0.00177678571428571
"R_2CwtP4CvdOSKNsi",NA
"R_2EiuhJmHmbxGIYb",NA
"R_2f9INeCJIlueGKI",NA
"R_2fHu6TZAjATEY01",0.0937410714285714
"R_2gGLOXUPbqvi7sZ",0.674602678571429
"R_2gh9tmeSrJQxnAd",NA
"R_2haCnpbpz4n4CZj",0.0205267857142857
"R_2i558r0b41w6PUU",0
"R_2IE02TfYyYwXi2O",0.0468660714285714
"R_2IGgtociJsJDt48",0.00399107142857143
"R_2IXG5mqJHeds2ay",0
"R_2j9x4SGDuW05kzf",0.0468660714285714
"R_2K8DBwiYjB7BKIR",NA
"R_2K9hMWOTnF29976",NA
"R_2kNTZ5bgjD3wYF7",NA
"R_2LgNgGWmyO7KPfd",0.0205267857142857
"R_2lVfu7lsTLLpyZH",0.0205267857142857
"R_2maAwtKVPx1TpzH",NA
"R_2mmvfQDMjiclFre",NA
"R_2MR7B4JdCE1GS2z",0.00758035714285714
"R_2n4aR7y9wewlfOh",NA
"R_2nTRZVbuflAmwPg",0.912441964285714
"R_2PAf9devncUhFUh",NA
"R_2PdS2EGAC5lhh2q",NA
"R_2PQShllOh7pv1jt",0.000660714285714286
"R_2q51NTvY7z829Cf",0.00400892857142857
"R_2qEck4SNpTV8k9C",0.185732142857143
"R_2QLXqgqpyhJETXS",NA
"R_2RkhC2u1M83ypaG",NA
"R_2RrpbRFPEMxF750",0
"R_2RWX5h1Ar0XFEV4",0.0205267857142857
"R_2Sxi0Fnfw8zdYDO",7.14285714285714e-05
"R_2tJtHHDSXWQW7Tz",NA
"R_2TWabv2hntFhPt7",3.57142857142857e-05
"R_2TwcqIwWMVEAIwZ",0.000160714285714286
"R_2V69Gh7TZzBU4al",0.00745535714285714
"R_2vN3i2L0yz2HQw9",NA
"R_2wN9tg7MBa8513W",0.00758035714285714
"R_2WYApbTlvRLuACC",0.0203839285714286
"R_2Ymixu7PvRExZe1",NA
"R_80orw0ueugQuda1",0.999991071428571
"R_80YYj8glWd5UqLq",0.000883928571428571
"R_80ZMNqz9DD7bgSx",NA
"R_81uPVYuVhVXdZ9J",NA
"R_825X2EJPR7EXzh5",0.00177678571428571
"R_826d2T9WpeFN9Ad",0.999991071428571
"R_82L0enbCfEza0Ko",0.377558035714286
"R_82zZceyWMFsktcB",7.14285714285714e-05
"R_84c6HB4lfXgpWyR",NA
"R_84DQzC2PXfUBVkd",0.00758035714285714
"R_84ehcVPjJ0eZbhc",NA
"R_84s6YV9nQ3Zm5d7",1.78571428571429e-05
"R_871NL7mgKv70Sbp",NA
"R_8aUAnPwULT7zpKJ",1.78571428571429e-05
"R_8CqPMhvJOUWmmZ0",0.000160714285714286
"R_8cZY0ZXebpyFZ8B",0.0205267857142857
"R_8eaaDFFh4nfOdoi",NA
"R_8eFMdA7woDhmzuN",0.0392857142857143
"R_8ehjSfHYLo1GIY3",NA
"R_8fE55G2prNPPkJM",0.0674017857142857
"R_8fkvXXi8lHMgmqi",0.00177678571428571
"R_8fqjRwGlExNXJ6B",0.00513392857142857
"R_8gMkFCKFX5CBYfV",NA
"R_8hyayJnh7JVmw6C",NA
"R_8hzC2eIgrN4mPBR",NA
"R_8IbrUtHC2689Y6B",NA
"R_8IfMtbSYN4Q6fEg",0.0937410714285714
"R_8IW5TROaktq6XyT",0.03125
"R_8j8Ol5UHw3ekoNC",NA
"R_8jGo1ljmVpy2ht7",NA
"R_8Jj4irds1QBEK41",NA
"R_8joDXrhyHTGBmhn",0.00245535714285714
"R_8k7CU75yQ23bg04",0.999991071428571
"R_8L7OZ1Va2Ssqzbf",NA
"R_8lJs23TeYpjH2rT",0.0571428571428571
"R_8mKTIO9OfGJmf2G",NA
"R_8MS4JTcyD2oUqde",NA
"R_8NVaqidJeram9sT",0.00177678571428571
"R_8OwdcNDRafAUvE8",1.78571428571429e-05
"R_8oWRxdUMV8H7MYL",0.00177678571428571
"R_8plMzLp1VjhOzEY",NA
"R_8pSfzHzSyP220QJ",0.187660714285714
"R_8pSQfaIwQHuiKRR",0.000883928571428571
"R_8qCkGbaRhvYpsKK",0.00223214285714286
"R_8QLA2rxBtBXuMCp",0.00691964285714286
"R_8QXNQE7zCG3KMOt",0.999991071428571
"R_8R31PDSSqMMujHz",NA
"R_8r35gYgSoonA8iW",NA
"R_8R8xYIGwwCaleCn",NA
"R_8RkBdziF8xJpRCh",0.00155357142857143
"R_8RNTY2WEJ56rfm3",0.0937410714285714
"R_8t7uzNkS5Rx5I1b",0.000883928571428571
"R_8U5BCBRaRCzvtwh",0.00177678571428571
"R_8UYvjXB4EadeT6h",NA
"R_8vDAgSp0ei2UAq5",0.00758035714285714
"R_8Ya0tMScR7VlhOA",0.0468660714285714
"R_8yiKL32llfbijtL",NA
"R_8YzwfK7toI20WYz",0.999991071428571
"R_8Z3J8t8VIgeNMEV",NA
"R_8ZRkP0HSRkl7PR7",0.0205267857142857
